latitude,longitude,datetime,tempmax,tempmin,temp,humidity,windspeed,cloudcover,solarenergy,condition
2.943371984,101.7466686,20/10/2015,86,77,81.9,83.5,6.2,96.4,19.4,Overcast
2.919387484,101.6704071,20/10/2015,86,77,81.9,83.5,6.2,96.4,19.4,Overcast
2.92153352,101.6713196,21/10/2015,90.2,77,83.1,78.2,8.4,92.5,19.2,Overcast
2.910196243,101.6711649,21/10/2015,90.2,77,83,78.2,8.5,92.1,19.2,Overcast
2.965247798,101.6639004,21/10/2015,90.6,77,83.1,78.4,8.7,94.1,19.2,Overcast
2.929160659,101.7405425,21/10/2015,90.1,77,83,78.2,8.5,92.1,19.2,Overcast
2.954092424,101.6897865,21/10/2015,90.4,77,83.1,78.3,8.6,93.3,19.2,Overcast
2.957506738,101.6430859,21/10/2015,90.6,77,83.1,78.4,8.7,94.1,19.2,Overcast
2.93563453,101.6424992,21/10/2015,90.4,77,83.1,78.3,8.6,93.3,19.2,Overcast
2.919485995,101.6453034,21/10/2015,90.3,77,83.1,78.2,8.5,92.7,19.2,Overcast
2.92845186,101.6737553,21/10/2015,90.3,77,83.1,78.2,8.5,92.6,19.2,Overcast
2.969405623,101.6598108,21/10/2015,90.6,77,83.1,78.4,8.7,94.3,19.2,Overcast
2.936189794,101.7247492,21/10/2015,90.2,77,83.1,78.2,8.4,92.4,19.2,Overcast
2.960194395,101.7175065,21/10/2015,90.4,77,83.1,78.3,8.5,93.1,19.2,Overcast
2.923278148,101.6872035,21/10/2015,90.2,77,83.1,78.2,8.4,92.3,19.2,Overcast
2.916170107,101.650825,21/10/2015,90.3,77,83.1,78.2,8.5,92.6,19.2,Overcast
2.933630644,101.7161121,21/10/2015,90.2,77,83.1,78.2,8.4,92.4,19.2,Overcast
2.939977736,101.7336849,21/10/2015,90.2,77,83.1,78.2,8.4,92.4,19.2,Overcast
2.96126395,101.6322195,21/10/2015,90.7,77,83.1,78.4,8.7,94.5,19.2,Overcast
2.942903902,101.7007535,21/10/2015,90.3,77,83.1,78.3,8.5,92.7,19.2,Overcast
2.970403509,101.6312264,21/10/2015,90.7,77,83.2,78.4,8.8,94.9,19.2,Overcast
2.940293857,101.6527689,21/10/2015,90.4,77,83.1,78.3,8.6,93.4,19.2,Overcast
2.906898887,101.6981818,21/10/2015,90.1,77,83,78.2,8.6,91.9,19.2,Overcast
2.957185786,101.7204164,21/10/2015,90.4,77,83.1,78.3,8.5,93,19.2,Overcast
2.90526394,101.6767583,21/10/2015,90.1,77,83,78.2,8.5,91.9,19.2,Overcast
2.906258654,101.6578782,21/10/2015,90.2,77,83,78.2,8.5,92.2,19.2,Overcast
2.916636583,101.6540031,21/10/2015,90.3,77,83.1,78.2,8.5,92.5,19.2,Overcast
2.926865293,101.6613881,22/10/2015,91.2,77,83.3,75.3,7.2,90.1,20.5,Overcast
2.970452804,101.6702865,22/10/2015,91.2,76.9,83.3,75.6,7.1,90.8,20.5,Overcast
2.96568898,101.6499519,22/10/2015,91.2,76.9,83.3,75.6,7.1,90.9,20.5,Overcast
2.956566257,101.6357485,22/10/2015,91.2,76.9,83.3,75.6,7.1,90.9,20.5,Overcast
2.935513585,101.629123,22/10/2015,91.2,77,83.3,75.5,7,90.5,20.5,Overcast
2.959821806,101.7412559,22/10/2015,91.2,77,83.3,75.3,7.1,90.1,20.5,Overcast
2.905601006,101.7392814,22/10/2015,91.1,77,83.2,75,7.5,89.5,20.5,Partially cloudy
2.957273201,101.6710524,22/10/2015,91.2,76.9,83.3,75.5,6.9,90.6,20.5,Overcast
2.966717465,101.6636236,22/10/2015,91.2,76.9,83.3,75.6,7.1,90.8,20.5,Overcast
2.93177387,101.6399451,22/10/2015,91.2,77,83.3,75.4,7,90.3,20.5,Overcast
2.949095496,101.6319816,22/10/2015,91.2,76.9,83.3,75.6,7,90.8,20.5,Overcast
2.937062467,101.7095382,22/10/2015,91.2,77,83.3,75.2,7.2,89.9,20.5,Partially cloudy
2.960587491,101.6462615,22/10/2015,91.2,76.9,83.3,75.6,7.1,90.9,20.5,Overcast
2.955890826,101.7137964,22/10/2015,91.2,77,83.3,75.4,7.1,90.2,20.5,Overcast
2.942284986,101.6978443,22/10/2015,91.2,77,83.3,75.3,7.2,90.1,20.5,Overcast
2.909529395,101.6997223,22/10/2015,91.1,77,83.2,75.1,7.4,89.6,20.5,Partially cloudy
2.929831259,101.7314182,22/10/2015,91.2,77,83.2,75.2,7.4,89.8,20.5,Partially cloudy
2.925045336,101.6968892,22/10/2015,91.2,77,83.2,75.2,7.3,89.8,20.5,Partially cloudy
2.932982259,101.7324483,22/10/2015,91.2,77,83.2,75.2,7.3,89.8,20.5,Partially cloudy
2.920905791,101.6378199,22/10/2015,91.2,77,83.3,75.3,7.1,90.1,20.5,Overcast
2.955510695,101.6774643,23/10/2015,92.3,78.8,84.5,75.4,9.1,90.1,20.6,"Rain, Overcast"
2.944350333,101.6316005,23/10/2015,92.3,78.8,84.5,75.5,9.2,90,20.6,"Rain, Partially cloudy"
2.969741447,101.7326093,23/10/2015,92.2,78.8,84.5,75.3,9.1,90.2,20.6,"Rain, Overcast"
2.946782315,101.6304899,23/10/2015,92.4,78.8,84.5,75.6,9.3,90,20.6,"Rain, Partially cloudy"
2.92958325,101.7446153,23/10/2015,91.9,78.8,84.5,74.7,9.3,90.7,20.6,"Rain, Overcast"
2.950801571,101.6475723,23/10/2015,92.3,78.8,84.5,75.5,9.2,90,20.6,"Rain, Partially cloudy"
2.935362189,101.7431844,23/10/2015,92,78.8,84.5,74.8,9.2,90.6,20.6,"Rain, Overcast"
2.940545969,101.6313899,23/10/2015,92.3,78.8,84.5,75.5,9.2,90.1,20.6,"Rain, Overcast"
2.94649583,101.6606522,23/10/2015,92.3,78.8,84.5,75.3,9.1,90.2,20.6,"Rain, Overcast"
2.91005925,101.6762791,23/10/2015,91.9,78.8,84.5,74.7,9.3,90.7,20.6,"Rain, Overcast"
2.942211723,101.6304912,23/10/2015,92.3,78.8,84.5,75.5,9.2,90.1,20.6,"Rain, Overcast"
2.942248354,101.6891296,23/10/2015,92.1,78.8,84.5,75.1,9,90.4,20.6,"Rain, Overcast"
2.958675928,101.6787285,23/10/2015,92.3,78.8,84.5,75.4,9.2,90.1,20.6,"Rain, Overcast"
2.941856911,101.7165176,23/10/2015,92.1,78.8,84.5,75,9,90.5,20.6,"Rain, Overcast"
2.965896954,101.6735648,23/10/2015,92.4,78.8,84.5,75.6,9.3,90,20.6,"Rain, Partially cloudy"
2.945227113,101.7108932,23/10/2015,92.1,78.8,84.5,75,9,90.4,20.6,"Rain, Overcast"
2.906171995,101.7234891,23/10/2015,91.8,78.8,84.5,74.5,9.5,90.9,20.6,"Rain, Overcast"
2.929545039,101.7080012,23/10/2015,92,78.8,84.5,74.8,9.2,90.6,20.6,"Rain, Overcast"
2.936136301,101.7118102,23/10/2015,92,78.8,84.5,74.9,9.1,90.5,20.6,"Rain, Overcast"
2.953809283,101.6512013,23/10/2015,92.4,78.8,84.5,75.5,9.2,90,20.6,"Rain, Partially cloudy"
2.949461681,101.729489,23/10/2015,92.1,78.8,84.5,75,9,90.4,20.6,"Rain, Overcast"
2.919622323,101.7184368,23/10/2015,91.9,78.8,84.5,74.6,9.3,90.7,20.6,"Rain, Overcast"
2.94747878,101.7418065,23/10/2015,92.1,78.8,84.5,74.9,9.1,90.5,20.6,"Rain, Overcast"
2.921348541,101.646776,23/10/2015,92.1,78.8,84.5,75,9,90.4,20.6,"Rain, Overcast"
2.924976939,101.6590791,23/10/2015,92.1,78.8,84.5,75,9,90.4,20.6,"Rain, Overcast"
2.956082645,101.7154615,23/10/2015,92.2,78.8,84.5,75.2,9,90.3,20.6,"Rain, Overcast"
2.949987021,101.6541451,23/10/2015,92.3,78.8,84.5,75.4,9.2,90.1,20.6,"Rain, Overcast"
2.963425135,101.741978,23/10/2015,92.2,78.8,84.5,75.1,9,90.3,20.6,"Rain, Overcast"
2.940328973,101.7055251,23/10/2015,92.1,78.8,84.5,75,9,90.4,20.6,"Rain, Overcast"
2.938166689,101.6621167,23/10/2015,92.2,78.8,84.5,75.2,9,90.3,20.6,"Rain, Overcast"
2.923160209,101.6656603,23/10/2015,92.1,78.8,84.5,74.9,9,90.5,20.6,"Rain, Overcast"
2.916494544,101.7354934,23/10/2015,91.9,78.8,84.5,74.6,9.4,90.8,20.6,"Rain, Overcast"
2.963186713,101.6832483,23/10/2015,92.3,78.8,84.5,75.5,9.2,90.1,20.6,"Rain, Overcast"
2.928833077,101.7399022,23/10/2015,91.9,78.8,84.5,74.7,9.3,90.7,20.6,"Rain, Overcast"
2.918699478,101.6941536,24/10/2015,91.4,78.8,83.5,77.9,8.3,91.9,16.3,"Rain, Overcast"
2.906957309,101.6511576,24/10/2015,91.4,78.8,83.5,78,8.4,92,16.3,"Rain, Overcast"
2.945394523,101.7070453,24/10/2015,91.4,78.8,83.4,78.5,8.7,92.2,16.3,"Rain, Overcast"
2.943783594,101.731658,24/10/2015,91.4,78.8,83.4,78.2,8.6,92,16.3,"Rain, Overcast"
2.972629888,101.7191107,24/10/2015,91.4,78.8,83.3,79.1,9.1,92.5,16.3,"Rain, Overcast"
2.935676597,101.7274257,24/10/2015,91.4,78.8,83.5,78.1,8.4,91.9,16.3,"Rain, Overcast"
2.911565983,101.7095475,24/10/2015,91.4,78.8,83.6,77.6,8.1,91.7,16.3,"Rain, Overcast"
2.93940093,101.6495988,24/10/2015,91.4,78.8,83.4,79,9,92.5,16.3,"Rain, Overcast"
2.971197986,101.6686288,24/10/2015,91.4,78.8,83.2,79.7,9.5,93,16.3,"Rain, Overcast"
2.946191658,101.7327251,24/10/2015,91.4,78.8,83.4,78.3,8.6,92.1,16.3,"Rain, Overcast"
2.938586136,101.6421316,24/10/2015,91.4,78.8,83.3,79.1,9.1,92.6,16.3,"Rain, Overcast"
2.96041273,101.6703822,24/10/2015,91.4,78.8,83.3,79.4,9.3,92.7,16.3,"Rain, Overcast"
2.971906764,101.7333458,24/10/2015,91.4,78.8,83.4,79,9,92.4,16.3,"Rain, Overcast"
2.962840565,101.6707429,24/10/2015,91.4,78.8,83.3,79.5,9.3,92.8,16.3,"Rain, Overcast"
2.95610342,101.7455091,24/10/2015,91.4,78.8,83.4,78.4,8.7,92.2,16.3,"Rain, Overcast"
2.939959365,101.6843272,24/10/2015,91.4,78.8,83.4,78.6,8.8,92.2,16.3,"Rain, Overcast"
2.904171206,101.7115568,24/10/2015,91.4,78.8,83.6,77.4,8.4,91.6,16.3,"Rain, Overcast"
2.963192269,101.6578329,24/10/2015,91.4,78.8,83.2,79.6,9.4,92.9,16.3,"Rain, Overcast"
2.925180031,101.6878806,24/10/2015,91.4,78.8,83.5,78.1,8.5,92,16.3,"Rain, Overcast"
2.908187096,101.6391063,24/10/2015,91.4,78.8,83.5,78.2,8.5,92.1,16.3,"Rain, Overcast"
2.932600311,101.6594659,24/10/2015,91.4,78.8,83.4,78.7,8.8,92.3,16.3,"Rain, Overcast"
2.931545986,101.6823876,24/10/2015,91.4,78.8,83.4,78.4,8.6,92.1,16.3,"Rain, Overcast"
2.971431589,101.7405171,24/10/2015,91.4,78.8,83.4,78.9,9,92.4,16.3,"Rain, Overcast"
2.912918927,101.7331987,24/10/2015,91.4,78.8,83.6,77.5,8.2,91.7,16.3,"Rain, Overcast"
2.908755511,101.6887063,24/10/2015,91.4,78.8,83.5,77.7,8.2,91.8,16.3,"Rain, Overcast"
2.914610198,101.6718867,24/10/2015,91.4,78.8,83.5,78,8.4,91.9,16.3,"Rain, Overcast"
2.955138899,101.6788419,24/10/2015,91.4,78.8,83.3,79.1,9.1,92.6,16.3,"Rain, Overcast"
2.959588224,101.7137654,24/10/2015,91.4,78.8,83.4,78.8,8.9,92.4,16.3,"Rain, Overcast"
2.969093026,101.6918532,24/10/2015,91.4,78.8,83.3,79.4,9.2,92.7,16.3,"Rain, Overcast"
2.959252251,101.666786,24/10/2015,91.4,78.8,83.3,79.4,9.3,92.7,16.3,"Rain, Overcast"
2.927328854,101.6759946,24/10/2015,91.4,78.8,83.4,78.3,8.6,92.1,16.3,"Rain, Overcast"
2.931887212,101.6407213,24/10/2015,91.4,78.8,83.4,78.9,9,92.4,16.3,"Rain, Overcast"
2.939454169,101.639956,24/10/2015,91.4,78.8,83.3,79.1,9.1,92.6,16.3,"Rain, Overcast"
2.965380492,101.6358077,24/10/2015,91.4,78.8,83.2,80,9.7,93.2,16.3,"Rain, Overcast"
2.934599617,101.6622515,24/10/2015,91.4,78.8,83.4,78.7,8.8,92.3,16.3,"Rain, Overcast"
2.913977854,101.7214809,24/10/2015,91.4,78.8,83.6,77.6,8.1,91.7,16.3,"Rain, Overcast"
2.953151892,101.6457876,24/10/2015,91.4,78.8,83.3,79.5,9.3,92.8,16.3,"Rain, Overcast"
2.947404674,101.7225155,24/10/2015,91.4,78.8,83.4,78.4,8.7,92.1,16.3,"Rain, Overcast"
2.957236712,101.6394192,24/10/2015,91.4,78.8,83.2,79.7,9.5,93,16.3,"Rain, Overcast"
2.95109411,101.7134341,24/10/2015,91.4,78.8,83.4,78.6,8.8,92.3,16.3,"Rain, Overcast"
2.963450278,101.6887548,24/10/2015,91.4,78.8,83.3,79.2,9.2,92.6,16.3,"Rain, Overcast"
2.935396969,101.742992,24/10/2015,91.4,78.8,83.5,78,8.4,91.9,16.3,"Rain, Overcast"
2.958858058,101.6947694,24/10/2015,91.4,78.8,83.3,79,9,92.5,16.3,"Rain, Overcast"
2.92627066,101.7287669,24/10/2015,91.4,78.8,83.5,77.8,8.3,91.8,16.3,"Rain, Overcast"
